plant_ID,compartment,mass,
4152,F,0.634,
3959,F,0.271,
3361,F,0.032,
3915,F,0.554,
3011,F,0.322,
3027,F,0.542,
4109,F,0.192,
4183,F,0.567,
4086,F,0.258,
4124,F,0.061,
4209,F,0.117,
4312,F,0.381,
4031,F,0.776,
4071,F,1.183,
3954,F,0.008,
4361,F,0.189,
3574,F,0.139,
4028,F,0.823,
3821,F,0.025,
3457,F,0.247,
3067,F,0.463,
3957,F,0.526,
3559,F,0.246,
3524,F,0.584,
3835,F,0.464,
3191,F,0.415,
3591,F,0.32,
4018,F,0.409,
4334,F,0.339,
3748,F,0.396,
4163,F,1.527,
4268,F,0.382,
3141,F,0.055,
4345,F,0.424,
3045,F,0.52,
3044,F,0.202,
3773,F,0.138,
3473,F,0.308,
3498,F,0.535,
3570,F,1.924,
4192,F,0.396,
3880,F,0.269,
4127,F,1.068,
3783,F,0.48,
4436,F,0.278,
3244,F,0.312,
4335,F,0.002,
4095,F,0.522,
3684,F,0.471,
4258,F,0.31,
4290,F,0.661,
3876,F,0.099,
3237,F,0.307,
4133,F,0.136,
3739,F,0.023,
3621,F,0.213,
4261,F,0.377,
3728,F,0.27,
4416,F,0.369,
3824,F,0.37,
3683,F,0.343,
4238,F,0.546,
4279,F,0.249,
3817,F,0.318,
3252,F,0.233,
3151,F,0.511,
4134,F,1.021,
4403,F,0.364,
3640,F,0.774,
3148,F,0.12,
3695,F,0.403,
4380,F,0.266,
3125,F,0.116,
4117,F,0.56,
3680,F,0.184,
3521,F,1.048,
3738,F,0.081,
3849,F,0.613,
4081,F,0.412,
3861,F,0.357,
3921,F,0.444,
3645,F,0.351,
3916,F,0.25,
3542,F,0.498,
4135,F,0.553,
3018,F,0,empty
4221,F,0.273,
4386,F,0.565,
3554,F,0.918,
3597,F,0.071,
3943,F,0.221,
4309,F,0.075,
3549,F,0.858,
3519,F,0.043,
4415,F,0.75,
3958,F,0.456,
3095,F,0.803,
4233,F,0.035,
3613,F,0.352,
3563,F,0.006,
3484,F,0.438,
4328,F,0.001,
3553,F,0.338,
3558,F,0.174,
3734,F,0.743,
4123,F,0.148,
3894,F,0.092,
3844,F,0.706,
3845,F,0.565,
4291,F,0.259,
3120,F,0.029,
3796,F,0.412,
3509,F,0.854,
3664,F,0.446,
4144,F,0.796,
4105,F,0.487,
4088,F,0.555,
4324,F,0.018,
3276,F,0.534,
3183,F,0.308,
3562,F,0.503,
3853,F,0.489,
3850,F,0.044,
3576,F,0.6,
3842,F,0.058,
3847,F,0.014,
3619,F,0.655,
4013,F,0.707,
3955,F,0.659,
3586,F,0.698,
3186,F,0.251,
3582,F,0.211,
3932,F,0.027,
4038,F,0.741,
3052,F,0.444,
4329,F,0.131,
4256,F,0.031,
4146,F,0.275,
3568,F,0.302,
3735,F,0.56,
3543,F,0.333,
3531,F,0.312,
4055,F,0.661,
3856,F,0.284,
3696,F,1.017,
3963,F,0.071,
3752,F,0.655,
3991,F,0.894,
3714,F,0.458,
3240,F,0.32,
3653,F,0.899,
4000,F,0.276,
3551,F,0.427,
4062,F,0.653,
3601,F,0.389,
3751,F,0.421,
3599,F,0.607,
4098,F,0.065,
3843,F,0.426,
3258,F,0,empty
3271,F,0.012,
3972,F,0.448,
3241,F,0.077,
3938,F,0.701,
3896,F,0.065,
3284,F,0.027,
3873,F,0.398,
3776,F,0.337,
4305,F,0.209,
3862,F,0.311,
3953,F,0.402,
3415,F,0,empty
3731,F,0.442,
4285,F,0.52,
3378,F,0.15,
3897,F,0.001,
3260,F,0.07,
3475,F,0.027,
4320,F,0.295,
3900,F,0.449,
4266,F,0.007,
4402,F,0.098,
4241,H,0.011,
4241,M,0.002,
3001,H,0.073,
3592,H,0.062,
3688,H,0.12,
4321,H,0.077,
4042,F,0.1,
4020,F,0.229,
4332,F,0.511,
4079,F,0.485,
4167,F,0.862,
4284,F,0.563,
4242,F,0.484,
3423,F,0.086,
4196,F,0.437,
4091,F,0.561,
3013,F,0.478,
4120,F,0.255,
3113,F,0.061,
3827,F,0.999,
4413,F,0.766,
3603,F,0.719,
3278,F,0.163,
3532,F,0.458,
3781,F,0.88,
4228,F,0.248,
4435,F,0.109,
3364,F,0.395,
3879,F,0.206,
4333,F,0.97,
3745,F,0.533,
3541,F,0.383,
3506,F,0.481,
4019,F,0.325,
3705,F,0.988,
3806,F,0.044,
4326,F,0.033,
4032,F,0.351,
3826,F,0.036,
3522,F,0.14,
3497,F,0.219,
4249,F,0.21,
4330,F,0.155,
4398,F,1.089,
4212,F,0.13,
3589,F,0.122,
3398,F,0.001,
3334,F,0.026,
3331,F,0.006,
4175,M,0.057,
4175,H,0.227,
3335,M,0.013,
3905,M,0.043,
3905,H,0.133,
3006,H,0.067,
3550,H,0.038,
3107,H,0.065,
3107,M,0.016,
3650,H,0.094,
3742,H,0.061,
3662,H,0.128,
3993,H,0.044,
3655,H,0.056,
3132,H,0.036,
4017,H,0.094,
4325,F,0.551,
4097,F,0.234,
3274,F,0.009,
3414,F,0.018,
3055,F,0.239,
3757,F,0.004,
3259,F,0.014,
3184,F,0.267,
4336,F,0.043,
3545,F,0.112,
3755,F,0.11,
4424,F,0.033,
3998,F,0.334,
3764,F,0.265,
3382,F,0.179,
4388,F,0.045,
4145,F,0.504,
3766,F,0.217,
4397,F,0.523,
4136,F,0.534,
3434,F,0.113,
3834,F,0.095,
4310,F,0.113,
4043,F,0.38,
4344,F,0.016,
3265,F,0.006,
3243,F,0,empty
3513,F,0.245,
3565,F,0.222,
3995,F,0.4,
4037,F,0.176,
3605,F,0.265,
3359,F,0.045,
3348,F,0.064,
3379,F,0.003,
3358,F,0.01,
4387,F,0.111,
4122,F,0.67,
4066,F,0.842,
3756,F,0.559,
3612,F,0.756,
3994,F,0.769,
4099,F,0.418,
4384,F,0.426,
4368,F,0.591,
3488,F,0.446,
3860,F,0.862,
3833,F,0.641,
3980,F,0.489,
3158,F,0.591,
3740,F,0.026,
3812,F,0.021,
3369,F,0.013,
3281,F,0,empty
3279,F,0.017,
3349,F,0.025,
3643,F,0.069,
3737,F,0.116,
3333,F,0.004,
3325,F,0.002,
3189,F,0.284,
3872,F,0.096,
3251,F,0.005,
4278,F,0.031,
3250,F,0.011,
3268,F,0.01,
3798,F,0.021,
3891,F,0.187,
3529,F,0.087,
3076,F,0.224,
3718,F,0.39,
3999,F,0.903,
3805,F,0.492,
3533,F,0.591,
3392,F,0.003,
3400,F,0.021,
3270,F,0.001,
3269,F,0.005,
3433,F,0.003,
3474,F,0.003,
4353,F,0.377,
4271,F,0.093,
4140,F,0.03,
3327,F,0.002,
4311,F,0.038,
4195,F,0.751,
3803,F,0.622,
3775,F,0.394,
3035,F,0.795,
4280,F,0.806,
4273,F,0.253,
3530,F,0.78,
3412,F,0.001,
4390,F,0.474,
4277,F,0.326,
3008,F,0.594,
3901,F,0.151,
3852,F,0.503,
3425,F,0.012,
3273,F,0.024,
4392,F,0.646,
4412,F,0.66,
3426,F,0.027,
4394,F,0.506,
4369,F,0.305,
4230,F,0.16,empty
4251,F,0.42,
3701,F,0.494,
4162,F,0.329,
4400,F,0.364,
3646,F,0.968,
3386,F,0,Empty
4007,F,0.316,
3242,F,0.011,
3557,F,0.421,
3438,F,0.018,
3518,F,0.628,
4341,M,0.045,
3335,H,0.059,
3932,M,0.059,
3932,H,0.148,
3126,M,0.025,
3126,H,0.03,
3339,H,0.073,
3339,M,0.028,
3536,H,0.092,
3593,H,0.089,
3033,M,0.01,
3033,H,0.042,
4100,M,0.082,
3858,M,0.039,
3858,H,0.132,
3832,M,0.022,empty
3832,H,0.109,
4035,H,0.054,
3913,M,0.005,
3913,H,0.04,
3584,F,0.172,
4015,,0.136,
3569,H,0.093,
3898,M,0.021,
3898,H,0.07,
3808,M,0.025,
3808,H,0.064,
3112,M,0.007,
3112,H,0.026,
4155,M,0.007,
4155,H,0.015,
3970,H,0.059,
3970,M,0.014,
4041,H,0.052,
4041,M,0.012,
3769,H,0.075,
3769,M,0.026,
3741,H,0.118,
3741,M,0.025,
4255,H,0.061,
4255,M,0.018,
3609,H,0.143,
3620,H,0.037,
3620,M,0.008,
4011,H,0.061,
4362,H,0.024,
4362,M,0.01,
4237,H,0.049,
4237,M,0.01,
3140,H,0.05,
3140,M,0.012,
3181,H,0.019,
3732,H,0.04,
3732,M,0.006,
3840,M,0.025,
3840,H,0.095,
4082,H,0.221,
4082,M,0.045,
3742,M,0.031,
3974,H,0.043,
3974,M,0.015,
4391,M,0.014,
4391,H,0.058,
3042,H,0.114,
3581,H,0.111,
4308,H,0.085,
4308,M,0.016,
3135,H,0.013,
3135,M,0.004,
4293,H,0.114,
4293,M,0.034,
3111,H,0.108,
3498,H,0.079,
4321,M,0.023,
4036,H,0.089,
4341,H,0.198,
3335,F,0.108,
3905,F,0.458,
3898,F,0.296,
4255,F,0.041,
3584,F,0.399,
3742,F,0,empty
3724,F,0.548,
3033,F,0.032,
4155,F,0.231,
3620,F,0.181,
3140,F,0.039,
4237,F,0.458,
4175,F,0.715,
4241,F,0.166,
3913,F,0.704,
3339,F,0.111,
4222,F,0.334,
3808,F,0.234,
4293,F,0.29,
4015,F,0.376,
3272,F,0.109,
3970,F,0.341,
4362,F,0.055,
3132,F,0.016,
3832,F,0.261,
4265,F,0.394,
3107,F,0,empty
3135,F,0.007,
4035,F,0.475,
4100,F,0.231,
3732,F,0.598,
3569,F,0.066,
3858,F,0.536,
3112,F,0.07,
3993,F,0.086,
4308,F,0.633,
3536,F,0.517,
3974,F,0.295,
3616,F,0.099,
3609,F,0.915,
3126,F,0.01,
3592,F,0.53,
3840,F,0.742,
3493,F,0.143,
3741,F,0.577,
4036,F,0.564,
3581,F,0.483,
4017,F,0.496,
3550,F,0.072,
3606,F,0.577,
3655,F,0.037,
4011,F,0.713,
4321,F,0.344,
3932,F,0.237,
3769,F,0.402,
3650,F,0.565,
3593,F,0.306,
3006,F,0.107,
3662,F,0.388,
3001,F,0.518,
3688,F,0.175,
4041,F,1.188,
3111,F,0.252,
4082,F,0.349,
3617,F,0,empty
3042,F,0.485,
3043,F,0.327,
3181,F,0.008,
4315,P,0.006,
4315,G,0.033,
3140,G,0.012,
3140,P,0,Too small
3970,G,0.083,
3970,P,0.013,
4004,G,0.081,
3650,G,0.088,
3110,G,0.107,
3650,P,0.008,
3339,P,0.005,
3697,G,0.161,
3005,G,0.039,
3616,G,0.007,
3616,P,0.004,
3272,G,0.058,
3272,P,0.009,
4265,G,0.097,
4265,P,0.018,
4246,G,0.06,
4246,P,0.012,
4401,G,0.049,
4401,P,0.013,
3782,P,0.02,
3782,G,0.101,
3789,G,0.084,
3387,G,0.018,
3387,P,0.003,
4321,G,0.069,
4321,P,0.019,
4253,P,0.012,
3832,G,0.058,
3832,P,0.009,
4240,P,0.008,
4370,F,0.514,
3038,F,0,empty
4429,F,0.046,
3337,F,0.158,
3481,F,0.161,
4149,F,0.33,
4257,F,0.193,
3108,F,0,empty
4235,F,0.202,
3556,F,0.175,
3946,F,0.442,
3129,F,0.575,
3119,F,0.132,
4067,F,0.308,
3114,F,0,empty
4159,F,0.121,
4054,F,0.633,
3722,F,0.227,
4405,P,0.017,
4405,G,0.101,
4056,H,0.119,
3665,G,0.137,
3587,H,0.054,
3544,H,0.038,
3973,G,0.159,
3784,P,0.02,
3784,G,0.121,
3377,P,0.005,
3377,G,0.017,
4160,G,0.072,
3736,P,0.018,
3736,G,0.026,
3982,P,0.008,
3982,G,0.027,
4024,G,0.037,
4061,P,0.008,
4061,G,0.035,
4021,G,0.032,
4014,G,0.092,
4243,P,0.029,
4243,G,0.067,
3933,P,0.02,
3933,G,0.059,
4896,P,0.003,
4896,G,0.028,
3825,P,0.01,
3825,G,0.044,
3772,P,0.013,
3772,G,0.058,
3725,P,0.012,
3725,G,0.062,
3967,P,0.027,
3967,G,0.088,
4379,M,0.01,
3046,H,0.093,
3600,H,0.06,
3836,M,0.026,
3836,H,0.102,
4061,M,0.006,
3483,H,0.1,
3525,H,0.097,
3606,G,0.053,
4159,G,0.037,
3838,P,0.016,
3838,G,0.06,
3048,P,0.002,
3048,G,0.002,
3793,G,0.155,
3793,P,0.04,
3780,P,0.021,
3780,G,0.071,
4316,G,0.048,
4316,P,0.012,
4260,G,0.031,
4253,G,0.056,
3383,P,0.003,
3383,G,0.033,
4260,P,0.011,
3744,G,0.043,
3535,G,0.111,
4282,P,0.023,
4185,G,0.07,
4282,G,0.09,
3114,G,0.115,
3337,P,0.024,
3580,G,0.068,
4282,M,0.018,
4282,H,0.085,
3337,G,0.079,
3708,G,0.144,
3490,M,0.011,
4373,H,0.069,
4218,G,0.086,
4218,P,0.033,
3744,P,0.016,
3385,G,0.123,
4085,G,0.095,
4027,G,0.06,
3385,P,0.043,
3885,G,0.056,
3885,P,0.017,
3992,G,0.079,
4027,H,0.169,
4027,M,0.033,
4289,H,0.071,
4187,G,0.046,
3323,P,0.013,
4404,P,0.007,
4404,G,0.038,
4408,P,0.013,
4408,G,0.054,
3566,G,0.086,
4240,G,0.047,
3026,G,0.112,
3511,G,0.149,
4371,P,0.014,
4371,G,0.011,
3139,G,0.079,
3489,G,0.081,
3323,G,0.025,
3709,H,0.1,
4289,M,0.022,
3337,M,0.045,
3490,H,0.044,
3580,H,0.07,
3893,G,0.034,
3893,P,0.015,
3583,G,0.085,
3611,G,0.07,
4132,H,0.191,
4371,H,0.058,
4371,M,0.185,
4046,H,0.055,
4067,H,0.061,
3337,H,0.081,
3356,P,0.028,
3356,G,0.078,
3795,P,0.025,
3795,G,0.08,
3744,H,0.033,
4213,P,0.015,
4213,G,0.063,
3744,M,0.014,
4227,H,0.085,
4227,M,0.037,
3723,M,0.012,
3723,H,0.029,
4235,G,0.048,
4235,P,0.02,
3859,P,0.015,
3859,G,0.054,
4227,P,0.018,
4227,G,0.058,
3167,G,0.101,
3854,G,0.012,
3854,P,0.001,
3622,G,0.122,
4067,G,0.063,
3709,G,0.097,
4010,G,0.093,
3381,G,0.036,
3381,P,0.012,
3722,G,0.072,
3722,P,0.012,
3077,G,0.048,
4317,G,0.063,
4317,P,0.016,
3946,G,0.125,
3946,P,0.036,
3440,P,0.006,
3440,G,0.033,
4132,G,0.19,
4274,G,0.063,
4274,P,0.02,
4373,M,0.018,
3883,P,0.015,
3494,G,0.081,
4343,G,0.041,
4343,P,0.031,
4170,P,0.028,
4170,G,0.132,
3525,P,0.016,
3525,G,0.09,
3385,H,0.146,
4289,G,0.087,
3623,P,0.024,
3623,G,0.113,
4370,G,0.093,
4370,P,0.023,
4054,G,0.11,
3778,P,0.02,
3813,G,0.039,
3813,P,0.016,
4010,H,0.08,
4399,G,0.013,
4399,P,0.008,
3254,P,0.024,
3704,G,0.093,
3254,G,0.062,
3108,G,0.067,
3654,G,0.079,
3723,G,0.05,
3997,F,0.851,
3482,F,0.441,
3197,F,0.108,
4286,F,0.137,
3787,F,0.012,
3700,F,0.758,
3724,P,0.022,
3724,G,0.125,
3804,G,0.063,
3804,P,0.016,
3801,G,0.083,
3801,P,0.019,
3774,P,0.011,
3774,G,0.032,
4307,P,0.014,
4307,G,0.054,
3043,G,0.068,
3493,G,0.093,
3986,G,0.081,
3711,G,0.169,
3486,G,0.086,
4025,P,0.006,
4025,G,0.053,
3057,P,0.032,
3051,G,0.044,
3779,P,0.014,
3779,G,0.06,
4241,G,0.025,
4241,P,0.01,
3808,G,0.067,
3808,P,0.013,
4265,P,0.05,
4265,G,0.012,
4362,G,0.064,
3795,G,0.08,
4362,P,0.02,
4391,G,0.096,
4391,P,0.018,
3858,G,0.067,
3111,G,0.104,
3858,P,0.009,
3126,G,0.008,
3126,P,0.005,
4155,G,0.09,
4139,G,0.058,
4157,G,0.07,
4157,P,0.018,
4139,P,0.012,
3007,G,0.056,
3007,P,0.027,
4175,G,0.083,
3606,P,0.007,
4159,P,0.015,
3654,F,0.714,
3709,F,0.678,
3525,F,0.18,
3992,F,0.543,
3838,F,0.27,
3839,F,0.521,
4218,F,0.399,
3167,F,0.28,
3130,F,0.682,
3016,F,0.186,
3771,F,0,empty
4343,F,0,empty
3535,F,0.405,
3381,F,0.107,
3511,F,0.11,
3048,F,0.006,
4308,G,0.073,
4308,P,0.013,
4213,F,0.623,
4027,F,0.142,
4187,F,0.147,
3580,F,0.105,
3985,F,0.184,
4147,F,0.762,
3255,F,0.077,
3883,F,0.442,
4240,F,0.127,
3780,F,0.017,
3489,F,0.089,
3502,F,0.149,
3323,F,0.002,
4008,F,0.406,
3917,F,0.058,
3987,F,0.023,
4158,F,0.459,
4044,F,0.794,
3124,F,0.246,
3622,F,0.235,
4373,F,0.149,
3623,F,0.442,
3583,F,0.351,
3723,F,0.155,
3026,F,0.297,
4010,F,0.247,
3139,F,0.081,
4085,F,0.219,
4327,F,0.341,
4371,F,0,empty
3440,F,0.126,
3744,F,0.151,
3854,F,0.195,
4322,F,0.219,
4092,F,0.699,
3188,F,0.078,
3615,F,0.307,
3573,F,0.012,
4148,F,0.646,
3778,F,0.217,
3611,F,0.107,
4289,F,0.251,
3383,F,0.159,
4407,F,0.307,
4408,F,0.479,
4002,F,0.642,
4030,F,0.196,
3855,F,0.02,
4001,F,0.074,
3495,F,0.706,
4319,F,0.657,
3096,F,0.211,
3127,F,0,Empty
4034,F,0.556,
3594,F,0.33,
3087,F,0.589,
4269,F,0.76,
3077,F,0.24,
4185,F,0.295,
4282,F,0.397,
3893,F,0.48,
4132,F,0.115,
3708,F,0.363,
3746,F,0.137,
3272,P,0.023,
3272,G,0.067,
4255,P,0.018,
4255,G,0.051,
3789,P,0.021,
3496,G,0.026,
3496,P,0.002,
4026,G,0.111,
4026,P,0.016,
3593,G,0.089,
4075,G,0.102,
3628,G,0.068,
