seedling_id,seedling_sp,soil_type
3721,P,Q
3722,P,Q
3723,P,Q
3724,P,Q
3728,P,Q
3731,P,Q
3727,P,Q
3726,P,Q
3737,P,Q
3735,P,Q
3734,P,Q
3732,P,Q
3733,P,Q
3730,P,Q
3729,P,Q
3725,P,Q
3738,P,Q
3736,P,Q
3746,P,Q
3740,P,Q
3739,P,Q
3741,P,Q
3742,P,Q
3743,P,Q
3751,P,Q
3750,P,Q
3748,P,Q
3749,P,Q
3752,P,Q
3747,P,Q
3744,P,Q
3745,P,Q
3753,P,Q
3755,P,Q
3759,P,Q
3761,P,Q
3756,P,Q
3757,P,Q
3754,P,Q
3758,P,Q
3768,P,Q
3767,P,Q
3766,P,Q
3765,P,Q
3764,P,Q
3763,P,Q
3762,P,Q
3760,P,Q
3868,P,Q
3872,P,Q
3870,P,Q
3875,P,Q
3865,P,Q
3869,P,Q
3866,P,Q
3867,P,Q
3871,P,Q
3873,P,Q
3874,P,Q
3877,P,Q
3876,P,Q
3878,P,Q
3881,P,Q
3879,P,Q
3895,P,Q
3884,P,Q
3902,P,Q
3899,P,Q
3898,P,Q
3883,P,Q
3882,P,Q
3880,P,Q
3885,P,Q
3886,P,Q
3887,P,Q
3888,P,Q
3890,P,Q
3889,P,Q
3891,P,Q
3893,P,Q
3905,P,Q
3903,P,Q
3901,P,Q
3900,P,Q
3897,P,Q
3894,P,Q
3892,P,Q
3904,P,Q
3907,P,Q
3908,P,Q
3906,P,Q
3910,P,Q
3909,P,Q
3911,P,Q
3912,P,Q
3824,P,Q
3823,P,Q
3820,P,Q
3817,P,Q
3822,P,Q
3821,P,Q
3818,P,Q
3819,P,Q
3828,P,Q
3825,P,Q
3827,P,Q
3826,P,Q
3829,P,Q
3830,P,Q
3831,P,Q
3833,P,Q
3839,P,Q
3844,P,Q
3837,P,Q
3835,P,Q
3836,P,Q
3841,P,Q
3834,P,Q
3832,P,Q
3838,P,Q
3840,P,Q
3845,P,Q
3842,P,Q
3843,P,Q
3848,P,Q
3846,P,Q
3847,P,Q
3856,P,Q
3855,P,Q
3854,P,Q
3852,P,Q
3849,P,Q
3853,P,Q
3851,P,Q
3850,P,Q
3857,P,Q
3858,P,Q
3860,P,Q
3861,P,Q
3859,P,Q
3862,P,Q
3863,P,Q
3864,P,Q
3777,P,Q
3769,P,Q
3778,P,Q
3780,P,Q
3770,P,Q
3771,P,Q
3773,P,Q
3772,P,Q
3785,P,Q
3783,P,Q
3781,P,Q
3782,P,Q
3779,P,Q
3775,P,Q
3776,P,Q
3774,P,Q
3810,P,Q
3784,P,Q
3786,P,Q
3787,P,Q
3788,P,Q
3789,P,Q
3791,P,Q
3790,P,Q
3800,P,Q
3799,P,Q
3797,P,Q
3796,P,Q
3795,P,Q
3794,P,Q
3793,P,Q
3792,P,Q
3798,P,Q
3801,P,Q
3802,P,Q
3803,P,Q
3809,P,Q
3804,P,Q
3806,P,Q
3807,P,Q
3816,P,Q
3815,P,Q
3814,P,Q
3812,P,Q
3813,P,Q
3805,P,Q
3811,P,Q
3808,P,Q
3914,P,Q
3916,P,Q
3919,P,Q
3915,P,Q
3913,P,Q
3917,P,Q
3918,P,Q
3920,P,Q
3929,P,Q
3927,P,Q
3926,P,Q
3925,P,Q
3922,P,Q
3924,P,Q
3923,P,Q
3921,P,Q
3928,P,Q
3930,P,Q
3931,P,Q
3932,P,Q
3933,P,Q
3935,P,Q
3936,P,Q
3934,P,Q
3944,P,Q
3943,P,Q
3942,P,Q
3941,P,Q
3940,P,Q
3939,P,Q
3938,P,Q
3945,P,Q
3946,P,Q
3948,P,Q
3947,P,Q
3950,P,Q
3949,P,Q
3953,P,Q
3951,P,Q
3960,P,Q
3958,P,Q
3959,P,Q
3957,P,Q
3955,P,Q
3952,P,Q
3956,P,Q
3954,P,Q
3389,P,C
3390,P,C
3386,P,C
3385,P,C
3412,P,C
3416,P,C
3403,P,C
3424,P,C
3393,P,C
3392,P,C
3388,P,C
3387,P,C
3414,P,C
3418,P,C
3423,P,C
3425,P,C
3397,P,C
3396,P,C
3395,P,C
3394,P,C
3415,P,C
3419,P,C
3427,P,C
3426,P,C
3398,P,C
3399,P,C
3405,P,C
3407,P,C
3404,P,C
3422,P,C
3428,P,C
3431,P,C
3409,P,C
3400,P,C
3408,P,C
3406,P,C
3420,P,C
3401,P,C
3429,P,C
3432,P,C
3410,P,C
3411,P,C
3417,P,C
3413,P,C
3421,P,C
3402,P,C
3391,P,C
3430,P,C
3305,P,C
3290,P,C
3321,P,C
3311,P,C
3314,P,C
3322,P,C
3323,P,C
3327,P,C
3289,P,C
3293,P,C
3292,P,C
3309,P,C
3300,P,C
3318,P,C
3324,P,C
3329,P,C
3295,P,C
3296,P,C
3291,P,C
3304,P,C
3303,P,C
3319,P,C
3325,P,C
3331,P,C
3315,P,C
3313,P,C
3312,P,C
3301,P,C
3317,P,C
3326,P,C
3328,P,C
3334,P,C
3308,P,C
3302,P,C
3299,P,C
3298,P,C
3320,P,C
3316,P,C
3330,P,C
3333,P,C
3310,P,C
3294,P,C
3297,P,C
3332,P,C
3306,P,C
3307,P,C
3336,P,C
3335,P,C
3283,P,C
3280,P,C
3272,P,C
3262,P,C
3256,P,C
3253,P,C
3247,P,C
3248,P,C
3285,P,C
3282,P,C
3265,P,C
3273,P,C
3257,P,C
3254,P,C
3250,P,C
3249,P,C
3284,P,C
3279,P,C
3268,P,C
3271,P,C
3261,P,C
3258,P,C
3243,P,C
3242,P,C
3287,P,C
3278,P,C
3269,P,C
3270,P,C
3263,P,C
3252,P,C
3241,P,C
3244,P,C
3286,P,C
3281,P,C
3274,P,C
3259,P,C
3260,P,C
3266,P,C
3246,P,C
3245,P,C
3288,P,C
3277,P,C
3276,P,C
3275,P,C
3267,P,C
3264,P,C
3251,P,C
3255,P,C
3471,P,C
3467,P,C
3466,P,C
3461,P,C
3451,P,C
3438,P,C
3475,P,C
3474,P,C
3477,P,C
3468,P,C
3458,P,C
3459,P,C
3450,P,C
3436,P,C
3473,P,C
3433,P,C
3472,P,C
3469,P,C
3457,P,C
3453,P,C
3437,P,C
3449,P,C
3441,P,C
3440,P,C
3479,P,C
3470,P,C
3465,P,C
3454,P,C
3439,P,C
3445,P,C
3442,P,C
3434,P,C
3478,P,C
3462,P,C
3464,P,C
3456,P,C
3452,P,C
3446,P,C
3476,P,C
3435,P,C
3480,P,C
3463,P,C
3455,P,C
3448,P,C
3444,P,C
3447,P,C
3443,P,C
3370,P,C
3369,P,C
3344,P,C
3351,P,C
3380,P,C
3384,P,C
3357,P,C
3355,P,C
3368,P,C
3373,P,C
3343,P,C
3374,P,C
3381,P,C
3382,P,C
3365,P,C
3356,P,C
3363,P,C
3371,P,C
3367,P,C
3359,P,C
3348,P,C
3378,P,C
3339,P,C
3340,P,C
3362,P,C
3372,P,C
3366,P,C
3360,P,C
3364,P,C
3379,P,C
3345,P,C
3346,P,C
3352,P,C
3375,P,C
3353,P,C
3347,P,C
3358,P,C
3377,P,C
3349,P,C
3342,P,C
3354,P,C
3376,P,C
3361,P,C
3341,P,C
3338,P,C
3337,P,C
3383,P,C
3350,P,C
4248,P,P
4247,P,P
4246,P,P
4245,P,P
4244,P,P
4243,P,P
4242,P,P
4241,P,P
4240,P,P
4239,P,P
4238,P,P
4237,P,P
4236,P,P
4235,P,P
4234,P,P
4233,P,P
4232,P,P
4231,P,P
4230,P,P
4229,P,P
4228,P,P
4227,P,P
4226,P,P
4225,P,P
4223,P,P
4224,P,P
4222,P,P
4215,P,P
4221,P,P
4219,P,P
4216,P,P
4218,P,P
4220,P,P
4217,P,P
4214,P,P
4213,P,P
4212,P,P
4210,P,P
4211,P,P
4209,P,P
4208,P,P
4207,P,P
4206,P,P
4205,P,P
4204,P,P
4203,P,P
4202,P,P
4201,P,P
4345,P,P
4362,P,P
4346,P,P
4347,P,P
4391,P,P
4390,P,P
4392,P,P
4388,P,P
4348,P,P
4356,P,P
4351,P,P
4387,P,P
4386,P,P
4389,P,P
4384,P,P
4385,P,P
4383,P,P
4375,P,P
4374,P,P
4373,P,P
4372,P,P
4371,P,P
4368,P,P
4369,P,P
4354,P,P
4352,P,P
4360,P,P
4359,P,P
4358,P,P
4382,P,P
4381,P,P
4363,P,P
4357,P,P
4370,P,P
4364,P,P
4355,P,P
4353,P,P
4380,P,P
4379,P,P
4378,P,P
4349,P,P
4377,P,P
4350,P,P
4361,P,P
4367,P,P
4366,P,P
4365,P,P
4295,P,P
4296,P,P
4294,P,P
4293,P,P
4292,P,P
4291,P,P
4290,P,P
4289,P,P
4288,P,P
4287,P,P
4286,P,P
4285,P,P
4283,P,P
4284,P,P
4282,P,P
4281,P,P
4280,P,P
4279,P,P
4278,P,P
4277,P,P
4276,P,P
4275,P,P
4274,P,P
4273,P,P
4270,P,P
4272,P,P
4269,P,P
4268,P,P
4267,P,P
4266,P,P
4265,P,P
4264,P,P
4263,P,P
4262,P,P
4261,P,P
4260,P,P
4259,P,P
4258,P,P
4257,P,P
4256,P,P
4255,P,P
4254,P,P
4253,P,P
4252,P,P
4251,P,P
4250,P,P
4249,P,P
4271,P,P
4438,P,P
4437,P,P
4440,P,P
4436,P,P
4435,P,P
4432,P,P
4428,P,P
4427,P,P
4439,P,P
4426,P,P
4425,P,P
4424,P,P
4423,P,P
4422,P,P
4421,P,P
4433,P,P
4420,P,P
4429,P,P
4434,P,P
4431,P,P
4416,P,P
4415,P,P
4405,P,P
4414,P,P
4413,P,P
4404,P,P
4412,P,P
4403,P,P
4402,P,P
4401,P,P
4398,P,P
4411,P,P
4410,P,P
4409,P,P
4397,P,P
4408,P,P
4417,P,P
4400,P,P
4396,P,P
4395,P,P
4406,P,P
4418,P,P
4393,P,P
4394,P,P
4407,P,P
4430,P,P
4419,P,P
4399,P,P
4344,P,P
4343,P,P
4342,P,P
4341,P,P
4340,P,P
4339,P,P
4338,P,P
4337,P,P
4336,P,P
4335,P,P
4334,P,P
4333,P,P
4332,P,P
4331,P,P
4330,P,P
4329,P,P
4328,P,P
4327,P,P
4326,P,P
4302,P,P
4325,P,P
4324,P,P
4323,P,P
4322,P,P
4321,P,P
4320,P,P
4319,P,P
4318,P,P
4317,P,P
4316,P,P
4315,P,P
4314,P,P
4313,P,P
4312,P,P
4311,P,P
4310,P,P
4309,P,P
4308,P,P
4307,P,P
4306,P,P
4305,P,P
4304,P,P
4303,P,P
4301,P,P
4297,P,P
4300,P,P
4299,P,P
3598,Q,Q
3595,Q,Q
3596,Q,Q
3592,Q,Q
3591,Q,Q
3588,Q,Q
3593,Q,Q
3585,Q,Q
3600,Q,Q
3603,Q,Q
3594,Q,Q
3599,Q,Q
3579,Q,Q
3577,Q,Q
3578,Q,Q
3580,Q,Q
3590,Q,Q
3587,Q,Q
3586,Q,Q
3584,Q,Q
3581,Q,Q
3602,Q,Q
3583,Q,Q
3610,Q,Q
3589,Q,Q
3582,Q,Q
3601,Q,Q
3597,Q,Q
3604,Q,Q
3607,Q,Q
3613,Q,Q
3614,Q,Q
3615,Q,Q
3612,Q,Q
3609,Q,Q
3605,Q,Q
3606,Q,Q
3618,Q,Q
3608,Q,Q
3616,Q,Q
3617,Q,Q
3611,Q,Q
3620,Q,Q
3623,Q,Q
3619,Q,Q
3622,Q,Q
3621,Q,Q
3624,Q,Q
3543,Q,Q
3567,Q,Q
3559,Q,Q
3530,Q,Q
3531,Q,Q
3532,Q,Q
3534,Q,Q
3529,Q,Q
3541,Q,Q
3547,Q,Q
3536,Q,Q
3544,Q,Q
3542,Q,Q
3535,Q,Q
3533,Q,Q
3539,Q,Q
3537,Q,Q
3545,Q,Q
3548,Q,Q
3549,Q,Q
3551,Q,Q
3546,Q,Q
3552,Q,Q
3555,Q,Q
3554,Q,Q
3553,Q,Q
3550,Q,Q
3570,Q,Q
3573,Q,Q
3564,Q,Q
3561,Q,Q
3558,Q,Q
3557,Q,Q
3556,Q,Q
3562,Q,Q
3565,Q,Q
3560,Q,Q
3563,Q,Q
3566,Q,Q
3540,Q,Q
3576,Q,Q
3575,Q,Q
3572,Q,Q
3574,Q,Q
3568,Q,Q
3571,Q,Q
3569,Q,Q
3538,Q,Q
3632,Q,Q
3629,Q,Q
6327,Q,Q
3628,Q,Q
3626,Q,Q
3625,Q,Q
3661,Q,Q
3633,Q,Q
3631,Q,Q
3634,Q,Q
3635,Q,Q
3630,Q,Q
3636,Q,Q
3639,Q,Q
3638,Q,Q
3637,Q,Q
3645,Q,Q
3647,Q,Q
3642,Q,Q
3644,Q,Q
3646,Q,Q
3643,Q,Q
3641,Q,Q
3640,Q,Q
3648,Q,Q
3651,Q,Q
3654,Q,Q
3649,Q,Q
3650,Q,Q
3653,Q,Q
3652,Q,Q
3656,Q,Q
3666,Q,Q
3663,Q,Q
3660,Q,Q
3657,Q,Q
3662,Q,Q
3658,Q,Q
3655,Q,Q
3659,Q,Q
3665,Q,Q
3668,Q,Q
3664,Q,Q
3667,Q,Q
3670,Q,Q
3669,Q,Q
3671,Q,Q
3672,Q,Q
3491,Q,Q
3488,Q,Q
3490,Q,Q
3487,Q,Q
3486,Q,Q
3484,Q,Q
3485,Q,Q
3481,Q,Q
3494,Q,Q
3482,Q,Q
3493,Q,Q
3498,Q,Q
3492,Q,Q
3495,Q,Q
3499,Q,Q
3500,Q,Q
3505,Q,Q
3497,Q,Q
3483,Q,Q
3489,Q,Q
3504,Q,Q
3502,Q,Q
3501,Q,Q
3503,Q,Q
3508,Q,Q
3496,Q,Q
3506,Q,Q
3507,Q,Q
3509,Q,Q
3510,Q,Q
3511,Q,Q
3512,Q,Q
3520,Q,Q
3519,Q,Q
3518,Q,Q
3517,Q,Q
3513,Q,Q
3516,Q,Q
3515,Q,Q
3514,Q,Q
3523,Q,Q
3521,Q,Q
3522,Q,Q
3524,Q,Q
3525,Q,Q
3526,Q,Q
3527,Q,Q
3528,Q,Q
3680,Q,Q
3681,Q,Q
3678,Q,Q
3677,Q,Q
3676,Q,Q
3673,Q,Q
3674,Q,Q
3675,Q,Q
3684,Q,Q
3679,Q,Q
3683,Q,Q
3682,Q,Q
3685,Q,Q
3691,Q,Q
3694,Q,Q
3686,Q,Q
3698,Q,Q
3697,Q,Q
3695,Q,Q
3688,Q,Q
3692,Q,Q
3690,Q,Q
3687,Q,Q
3689,Q,Q
3693,Q,Q
3696,Q,Q
3700,Q,Q
3701,Q,Q
3704,Q,Q
3707,Q,Q
3712,Q,Q
3703,Q,Q
3702,Q,Q
3714,Q,Q
3709,Q,Q
3715,Q,Q
3713,Q,Q
3699,Q,Q
3710,Q,Q
3706,Q,Q
3717,Q,Q
3705,Q,Q
3708,Q,Q
3711,Q,Q
3718,Q,Q
3716,Q,Q
3719,Q,Q
3720,Q,Q
3138,Q,C
3144,Q,C
3137,Q,C
3141,Q,C
3140,Q,C
3143,Q,C
3098,Q,C
3121,Q,C
3142,Q,C
3139,Q,C
3128,Q,C
3129,Q,C
3130,Q,C
3135,Q,C
3132,Q,C
3131,Q,C
3123,Q,C
3124,Q,C
3127,Q,C
3133,Q,C
3119,Q,C
3120,Q,C
3122,Q,C
3134,Q,C
3115,Q,C
3125,Q,C
3114,Q,C
3109,Q,C
3108,Q,C
3107,Q,C
3105,Q,C
3103,Q,C
3106,Q,C
3111,Q,C
3112,Q,C
3110,Q,C
3117,Q,C
3136,Q,C
3113,Q,C
3116,Q,C
3097,Q,C
3126,Q,C
3099,Q,C
3102,Q,C
3118,Q,C
3100,Q,C
3101,Q,C
3060,Q,C
3061,Q,C
3057,Q,C
3077,Q,C
3096,Q,C
3087,Q,C
3059,Q,C
3104,Q,C
3066,Q,C
3062,Q,C
3049,Q,C
3050,Q,C
3052,Q,C
3058,Q,C
3084,Q,C
3053,Q,C
3065,Q,C
3095,Q,C
3094,Q,C
3074,Q,C
3086,Q,C
3092,Q,C
3081,Q,C
3069,Q,C
3068,Q,C
3056,Q,C
3090,Q,C
3082,Q,C
3064,Q,C
3083,Q,C
3075,Q,C
3073,Q,C
3067,Q,C
3051,Q,C
3085,Q,C
3070,Q,C
3072,Q,C
3078,Q,C
3089,Q,C
3054,Q,C
3076,Q,C
3055,Q,C
3063,Q,C
3091,Q,C
3079,Q,C
3080,Q,C
3071,Q,C
3093,Q,C
3228,Q,C
3217,Q,C
3221,Q,C
3198,Q,C
3219,Q,C
3220,Q,C
3234,Q,C
3208,Q,C
3206,Q,C
3218,Q,C
3205,Q,C
3197,Q,C
3239,Q,C
3238,Q,C
3199,Q,C
3233,Q,C
3227,Q,C
3216,Q,C
3223,Q,C
3204,Q,C
3193,Q,C
3235,Q,C
3195,Q,C
3203,Q,C
3201,Q,C
3207,Q,C
3231,Q,C
3232,Q,C
3230,Q,C
3226,Q,C
3224,Q,C
3222,Q,C
3225,Q,C
3211,Q,C
3212,Q,C
3229,Q,C
3213,Q,C
3196,Q,C
3214,Q,C
3210,Q,C
3088,Q,C
3240,Q,C
3237,Q,C
3236,Q,C
3200,Q,C
3215,Q,C
3209,Q,C
3202,Q,C
3194,Q,C
3163,Q,C
3158,Q,C
3191,Q,C
3189,Q,C
3192,Q,C
3187,Q,C
3188,Q,C
3161,Q,C
3147,Q,C
3151,Q,C
3183,Q,C
3146,Q,C
3186,Q,C
3172,Q,C
3184,Q,C
3145,Q,C
3165,Q,C
3148,Q,C
3150,Q,C
3177,Q,C
3156,Q,C
3155,Q,C
3160,Q,C
3179,Q,C
3157,Q,C
3162,Q,C
3159,Q,C
3164,Q,C
3170,Q,C
3176,Q,C
3166,Q,C
3169,Q,C
3171,Q,C
3175,Q,C
3181,Q,C
3168,Q,C
3173,Q,C
3154,Q,C
3167,Q,C
3152,Q,C
3153,Q,C
3149,Q,C
3180,Q,C
3185,Q,C
3174,Q,C
3190,Q,C
3178,Q,C
3041,Q,C
3048,Q,C
3042,Q,C
3037,Q,C
3018,Q,C
3001,Q,C
3002,Q,C
3005,Q,C
3047,Q,C
3035,Q,C
3044,Q,C
3046,Q,C
3006,Q,C
3000,Q,C
3021,Q,C
3004,Q,C
3016,Q,C
3043,Q,C
3045,Q,C
3011,Q,C
3007,Q,C
3003,Q,C
3030,Q,C
3031,Q,C
3040,Q,C
3036,Q,C
3013,Q,C
3027,Q,C
3033,Q,C
3032,Q,C
3034,Q,C
3029,Q,C
3039,Q,C
3022,Q,C
3026,Q,C
3012,Q,C
3038,Q,C
3008,Q,C
3015,Q,C
3024,Q,C
3182,Q,C
3023,Q,C
3028,Q,C
3025,Q,C
3010,Q,C
3009,Q,C
3014,Q,C
3017,Q,C
4011,Q,P
4021,Q,P
4015,Q,P
4051,Q,P
4038,Q,P
4009,Q,P
4010,Q,P
4013,Q,P
4017,Q,P
4019,Q,P
4045,Q,P
4044,Q,P
4042,Q,P
4012,Q,P
4016,Q,P
4014,Q,P
4018,Q,P
4022,Q,P
4023,Q,P
4020,Q,P
4025,Q,P
4026,Q,P
4024,Q,P
4028,Q,P
4035,Q,P
4034,Q,P
4033,Q,P
4032,Q,P
4031,Q,P
4030,Q,P
4029,Q,P
4027,Q,P
4043,Q,P
4037,Q,P
4036,Q,P
4039,Q,P
4040,Q,P
4041,Q,P
4046,Q,P
4047,Q,P
4056,Q,P
4055,Q,P
4054,Q,P
4053,Q,P
4052,Q,P
4050,Q,P
4048,Q,P
4049,Q,P
4117,Q,P
4118,Q,P
4113,Q,P
4107,Q,P
4112,Q,P
4108,Q,P
4105,Q,P
4137,Q,P
4145,Q,P
4106,Q,P
4111,Q,P
4110,Q,P
4109,Q,P
4115,Q,P
4114,Q,P
4116,Q,P
4139,Q,P
4125,Q,P
4123,Q,P
4122,Q,P
4121,Q,P
4120,Q,P
4119,Q,P
4140,Q,P
4141,Q,P
4127,Q,P
4124,Q,P
4126,Q,P
4128,Q,P
4130,Q,P
4131,Q,P
4143,Q,P
4142,Q,P
4135,Q,P
4134,Q,P
4133,Q,P
4136,Q,P
4132,Q,P
4129,Q,P
4144,Q,P
4146,Q,P
4148,Q,P
4147,Q,P
4151,Q,P
4149,Q,P
4150,Q,P
4152,Q,P
4200,Q,P
4198,Q,P
4199,Q,P
4197,Q,P
4195,Q,P
4194,Q,P
4192,Q,P
4196,Q,P
4193,Q,P
4191,Q,P
4189,Q,P
4188,Q,P
4186,Q,P
4190,Q,P
4185,Q,P
4187,Q,P
4178,Q,P
4177,Q,P
4179,Q,P
4181,Q,P
4180,Q,P
4182,Q,P
4183,Q,P
4184,Q,P
4176,Q,P
4174,Q,P
4173,Q,P
4171,Q,P
4168,Q,P
4172,Q,P
4170,Q,P
4169,Q,P
4161,Q,P
4162,Q,P
4163,Q,P
4164,Q,P
4166,Q,P
4175,Q,P
4165,Q,P
4167,Q,P
4160,Q,P
4158,Q,P
4157,Q,P
4155,Q,P
4159,Q,P
4156,Q,P
4154,Q,P
3962,Q,P
3965,Q,P
3963,Q,P
3961,Q,P
3964,Q,P
3985,Q,P
3973,Q,P
3976,Q,P
3982,Q,P
3972,Q,P
3970,Q,P
3967,Q,P
3971,Q,P
3969,Q,P
3968,Q,P
3966,Q,P
3974,Q,P
3975,Q,P
3977,Q,P
3978,Q,P
3979,Q,P
3980,Q,P
3981,Q,P
3983,Q,P
3991,Q,P
4002,Q,P
3990,Q,P
3987,Q,P
3986,Q,P
3988,Q,P
3984,Q,P
3989,Q,P
3992,Q,P
3993,Q,P
3995,Q,P
3994,Q,P
4001,Q,P
4003,Q,P
4004,Q,P
3996,Q,P
4008,Q,P
4005,Q,P
4007,Q,P
4006,Q,P
4000,Q,P
3999,Q,P
3997,Q,P
3998,Q,P
4068,Q,P
4072,Q,P
4089,Q,P
4067,Q,P
4063,Q,P
4058,Q,P
4059,Q,P
4057,Q,P
4069,Q,P
4070,Q,P
4071,Q,P
4073,Q,P
4074,Q,P
4076,Q,P
4077,Q,P
4082,Q,P
4075,Q,P
4083,Q,P
4081,Q,P
4086,Q,P
4084,Q,P
4080,Q,P
4078,Q,P
4079,Q,P
4060,Q,P
4061,Q,P
4062,Q,P
4064,Q,P
4065,Q,P
4066,Q,P
4085,Q,P
4088,Q,P
4096,Q,P
4095,Q,P
4092,Q,P
4091,Q,P
4094,Q,P
4093,Q,P
4090,Q,P
4087,Q,P
4097,Q,P
4098,Q,P
4099,Q,P
4100,Q,P
4101,Q,P
4103,Q,P
4102,Q,P
4104,Q,P
3896,P,Q
3937,P,Q
4376,P,P
3460,P,C
3627,Q,Q
