newfile,taxonomy
3053a_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3053b_QC.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
3053e_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3053h_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Neocamarosporium;NA
3053h_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Neocamarosporium;NA
3070c_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;NA;NA
3070h_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091a_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;NA
3091b_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091c_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091d_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091e_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091f_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3091g_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3098a_QC.scf,k__Fungi;p__Basidiomycota;NA;NA;NA;NA;NA
3098c_QC.scf,k__Fungi;p__Basidiomycota;NA;NA;NA;NA;NA
3098e_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3206g_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3217b_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3217f_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3218a_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3218b_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3218g_QC.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3218h_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3221d_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3221h_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3487f_QQ.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;NA;NA;NA;NA
3548g_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;NA;NA;NA
3604b_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__niemeijerarum
3604c_QQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cora;NA
3604d_QQ.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Thyridariaceae;NA;NA
3604e_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
3604g_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
3604h_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
3608c_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__ostracoderma
3641g_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
3652b_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;NA;NA;NA;NA
3652c_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
3652e_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3652g_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;NA;NA
3659h_QQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
3678f_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3875d_PQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
3875g_PQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;NA
4022b_QP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
4022c_QP.scf,"NA;NA;NA;NA;NA;NA;NA"
4022d_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4022h_QP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;NA;NA;NA;NA
4040a_QP.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
4084d_QP.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
4084e_QP.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
4084g_QP.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
4173b_QP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;NA;NA;NA;NA
4173d_QP.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
4181e_QP.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Neocamarosporium;NA
4181f_QP.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Neocamarosporium;NA
4181g_QP.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Neocamarosporium;NA
4181g_QP.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Neocamarosporium;NA
4208c_PP.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
4208d_PP.scf,k__Fungi;p__Basidiomycota;NA;NA;NA;NA;NA
4208f_PP.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;NA;NA;NA;NA
4216c_PP.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
4216g_PP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;NA;NA;NA;NA
4244c_PP.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Choiromyces;NA
4348b_PP.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;NA
4348e_PP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__niemeijerarum
4383b_PP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
4383d_PP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
4383e_PP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__furcatum
4383f_PP.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
4418h_PP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3053c_QC.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3070d_QC.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;s__crustuliniforme
3070e_QC.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;s__crustuliniforme
3070f_QC.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;s__crustuliniforme
3070g_QC.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;s__crustuliniforme
3098f_QC.scf,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__gregata
3137d_QC.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Ramophialophora;NA
3137h_QC.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3206c_QC.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;NA;NA
3206h_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3217g_QC.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__radicicola
3218c_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;NA
3218d_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;NA
3218e_QC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3221e_QC.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__lusitanica
3290d_PC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;NA
3300d_PC.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__herbamans
3309a_PC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;NA
3309d_PC.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;NA;NA;NA
3309f_PC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3318d_PC.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;NA;NA;NA
3319a_PC.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;NA;NA;NA
3579b_QQ.scf,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;NA;NA
3579c_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__candidum
3579d_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3579h_QQ.scf,k__Fungi;p__Basidiomycota;NA;NA;NA;NA;NA
3678b_QQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;NA
3678c_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3811d_PQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
3866c_PQ.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;NA;NA
3875b_PQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
3875h_PQ.scf,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__brevicompactum
3892c_PQ.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
3909d_PQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__rudus
3909f_PQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Peniophorella;s__pubera
4040b_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4040d_QP.scf,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;NA
4040f_QP.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
4040g_QP.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
4040h_QP.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
4084a_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4084f_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4084h_QP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__nigrescens
