id,above_below,total_mass_g,bag_mass_g
3690,a,4.76,4.21
4168,b,5.51,4.18
3707,b,5.92,4.17
4174,a,6.62,4.51
4182,b,7.97,4.18
3690,b,6.58,4.19
3707,a,5.13,4.23
4180,b,6.62,4.50
4186,a,6.39,4.50
4178,a,6.11,4.23
3942,b,4.77,4.55
3942,a,4.71,4.54
4186,b,8.76,4.41
4178,b,8.43,4.18
3719,b,4.95,4.18
4172,b,6.38,4.18
3691,b,8.88,4.20
3919,b,4.75,4.50
3919,a,4.63,4.48
3944,b,4.86,4.49
3944,a,4.69,4.51
4180,a,5.81,4.53
4182,a,5.15,4.20
3945,a,4.64,4.53
4223,b,4.53,4.25
4164,b,7.57,4.51
4174,b,7.67,4.20
3682,a,5.94,4.56
3685,a,6.93,4.36
3692,b,5.64,4.42
3945,b,4.52,4.42
3692,a,8.20,4.56
3685,b,7.32,4.51
4168,a,4.91,4.19
3691,a,6.51,4.26
3699,b,6.27,4.25
3699,a,4.76,3.99
4172,a,5.17,4.23
3719,a,4.62,4.21
3682,b,5.94,4.53
4164,a,6.09,4.53
4439,b,4.70,4.25
4439,a,4.47,4.25
3882,b,4.72,4.21
3882,a,4.45,4.21
4437,b,4.40,4.21
4437,a,4.33,4.21
4420,b,4.48,4.21
4420,a,4.38,4.21
4439,b,4.59,4.17
4239,a,4.43,4.20
3878,b,4.55,4.20
3878,a,4.44,4.20
4232,b,4.43,4.20
4232,a,4.41,4.19
4247,b,4.44,4.20
4247,a,4.40,4.22
3926,b,4.38,4.23
3926,a,4.35,4.23
3948,a,4.33,4.22
4223,a,4.44,4.23
3948,b,4.34,4.20
4438,b,4.39,4.20
4438,a,4.36,4.24