seedling_id,colonized,uncolonized,plate,column,A,B,C,D,E,F,G,H,tip_notes,puller
4079,0,100,,,,,,,,,,,,hvm
4280,0,100,,,,,,,,,,,,hvm
3008,0,,,,,,,,,,,,,hvm
4195,9,74,101,1,A,A,A,,,,,,,hvm
3860,10,90,101,1,,,,Z,Y,Y,Y,Y,,hvm
3999,7,99,101,2,A,A,O,O,O,O,O,O,,hvm
3364,0,,,,,,,,,,,,,hvm
4435,0,100,101,3,O,O,O,O,O,O,O,O,,hvm
4228,0,77,,,,,,,,,,,,hvm
3532,0,,,,,,,,,,,,,hvm
4368,0,,,,,,,,,,,,,hvm
4384,0,,,,,,,,,,,,,hvm
3578,32,85,101,4,B,B,B,B,C,B,B,,,hvm
3113,20,79,101,5,B,B,B,B,,,,,,hvm
4333,63,75,101,5,,,,,X,X,X,X,,hvm
3775,27,93,101,6,X,X,X,X,,,,,,hvm
3423,69,21,101,6,,,,,X,X,X,X,,hvm
4273,110,16,101,7,X,X,X,X,X,X,X,X,,hvm
4120,0,113,,,,,,,,,,,,hvm
4042,0,100,,,,,,,,,,,,hvm
3612,0,117,,,,,,,,,,,,hvm
3827,95,5,101,8,Y,Y,Y,Y,Y,Y,Y,Y,but Y not Em? ,hvm
4196,0,,,,,,,,,,,,,hvm
4167,0,,,,,,,,,,,,,hvm
4413,0,138,,,,,,,,,,,,hvm
3718,0,,,,,,,,,,,,,hvm
3035,0,,,,,,,,,,,,,hvm
3530,0,,,,,,,,,,,,,hvm
3533,0,,,,,,,,,,,,,hvm
3745,81,33,101,9,X,X,X,X,X,X,X,X,,hvm
4099,0,,,,,,,,,,,,,hvm
3994,50,37,101,10,A,A,A,A,A,A,A,A,unclear. some fresh white ones,hvm
3506,0,,,,,,,,,,,,,hvm
3488,0,,,,,,,,,,,,,hvm
3756,81,18,101,11,X,X,X,X,,,,,,hvm
4091,5,101,101,11,,,,,C,A,A,A,,hvm
3879,0,,,,,,,,,,,,,hvm
3541,0,,,,,,,,,,,,,hvm
3803,105,26,101,12,X,X,X,X,X,X,X,N,,hvm
4242,84,52,102,1,X,X,X,X,X,X,Y,Y,,hvm
3013,33,100,102,2,A,A,A,A,,,,,,hvm
3980,0,,,,,,,,,,,,few fine roots,hvm
4277,0,,,,,,,,,,,,,hvm
3901,0,,,,,,,,,,,,,hvm
3278,86,62,102,2,,,,,X,X,X,X,,hvm
4020,28,139,102,3,A,A,A,A,,,,,,hvm
3158,0,,,,,,,,,,,,,hvm
3833,72,57,102,3,,,,,X,X,X,X,,hvm
4390,48,97,102,4,X,X,X,X,,,,,,hvm
3805,48,83,102,4,X,X,X,X,,,,,,hvm
4284,0,,,,,,,,,,,,,hvm
3603,0,,,,,,,,,,,,,hvm
4325,117,60,102,5,X,X,X,X,X,X,Y,Y,,hvm
3781,80,52,102,6,X,X,X,X,,,,,,hvm
4332,20,83,102,6,,,,,Z,Z,Z,Z,,hvm
4066,20,80,102,7,A,A,A,A,,,,,,hvm
NA,,,,,,,,,,,,,,hvm
NA,,,,,,,,,,,,,,hvm
4345,87,18,102,7,,,,,X,X,X,X,,hvm
3551,63,59,102,8,D,D,D,D,D,D,D,D,,hvm
3796,92,40,102,9,X,X,X,X,X,X,X,N,,hvm
3683,0,,,,,,,,,,,,,hvm
3052,57,73,102,10,D,D,D,D,,,,,,hvm
3773,39,72,102,10,,,,,W,W,W,W,,hvm
3044,0,,,,,,,,,,,,,hvm
3045,0,,,,,,,,,,,,,hvm
3473,51,30,102,11,W,W,W,W,W,W,W,W,,hvm
3957,81,37,102,12,X,X,X,X,,,,,,hvm
3735,88,44,102,12,,,,,X,X,X,X,,hvm
4163,52,46,103,1,D,D,D,D,D,D,D,D,,hvm
3937,49,43,103,2,W,W,W,W,,,,,,hvm
3835,0,,,,,,,,,,,,,hvm
4134,41,77,103,2,,,,,A,A,A,A,,hvm
4403,0,,,,,,,,,,,,,hvm
3591,64,83,103,3,D,D,D,D,D,D,D,D,,hvm
3191,0,,,,,,,,,,,,,hvm
3738,0,,,,,,,,,,,,,hvm
3252,63,59,103,4,X,X,X,X,,,,,,hvm
3151,0,,,,,,,,,,,,,hvm
3498,28,91,103,4,,,,,A,A,A,A,,hvm
3582,0,,,,,,,,,,,,,hvm
3559,27,137,103,5,A,A,A,D,D,D,A,A,,hvm
4000,0,,,,,,,,,,,,,hvm
3916,0,,,,,,,,,,,,,hvm
4416,0,,,,,,,,,,,,,hvm
3748,108,16,103,6,X,X,X,X,,,,,,hvm
3849,0,,,,,,,,,,,,,hvm
3645,0,,,,,,,,,,,,,hvm
3186,0,,,,,,,,,,,,,hvm
4238,0,,,,,,,,,,,,,hvm
4268,0,,,,,,,,,,,,,hvm
3271,0,,,,,,,,,,,,,hvm
3824,69,58,103,6,,,,,X,X,X,X,,hvm
3120,0,,,,,,,,,,,,,hvm
3664,23,78,103,7,E,E,E,D,E,E,E,E,,hvm
3817,0,,,,,,,,,,,,,hvm
4081,17,93,103,8,A,A,A,A,,,,,,hvm
3728,0,,,,                                    ,,,,,,,,,hvm
4018,0,,,,,,,,,,,,,hvm
3524,0,,,,,,,,,,,,,hvm
3680,0,0,,,,,,,,,,,,hvm
3972,0,0,,,,,,,,,,,,hvm
4144,0,0,,,,,,,,,,,,hvm
4334,0,0,,,,,,,,,,,,hvm
3067,0,0,,,,,,,,,,,,hvm
3861,0,0,,,,,,,,,,,,hvm
3240,0,0,,,,,,,,,,,,hvm
4279,0,0,,,,,,,,,,,,hvm
3543,0,0,103,,,,,,,,,,,hvm
3547,32,68,103,9,A,A,A,A,A,A,A,A,,hvm
4038,35,109,103,10,A,A,A,A,,,,,,hvm
3599,0,0,,,,,,,,,,,,hvm
3640,83,62,103,11,F,F,F,F,F,F,F,N,,hvm
4380,0,0,,,,,,,,,,,,hvm
4105,0,0,,,,,,,,,,,,hvm
3921,55,66,103,10,,,,,X,X,X,X,,hvm
4062,0,0,,,,,,,,,,,,hvm
3148,0,0,,,,,,,,,,,,hvm
3509,4,67,103,12,F,F,,,,,,,,hvm
3125,0,0,,,,,,,,,,,,hvm
3714,0,0,,,,,,,,,,,,hvm
3695,0,0,,,,,,,,,,,,hvm
3258,8,76,103,12,,,W,W,,,,,,hvm
3751,85,76,103,12,,,,,X,X,X,X,,hvm
3653,26,108,103,8,,,,,F,F,F,F,,hvm
4098,0,0,,,,,,,,,,,,
4117,0,0,,,,,,,,,,,,
3843,0,0,,,,,,,,,,,,
3991,0,0,,,,,,,,,,,,
3141,0,0,,,,,,,,,,,,
3601,0,0,,,,,,,,,,,,
NA,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,
4256,0,0,,,,,,,,,,,,
3136,0,0,,,,,,,,,,,,
4063,0,0,,,,,,,,,,,,
4379,0,0,,,,,,,,,,,,
4426,0,0,,,,,,,,,,,,
3665,75,106,104,1,F,F,F,F,F,F,F,F,,
3245,45,56,104,2,X,X,W,W,,,,,,
4378,0,0,,,,,,,,,,,,
3933,93,106,104,3,X,X,X,X,W,W,X,W,,
4089,0,0,,,,,,,,,,,,
3967,29,144,104,2,,,,,F,F,F,D,,
3118,0,0,,,,,,,,,,,,
3899,94,68,104,4,X,X,X,X,X,X,X,X,,
3736,42,115,104,5,W,W,W,W,,,,,,
3600,0,0,,,,,,,,,,,,
3693,0,0,,,,,,,,,,,,
3614,0,0,,,,,,,,,,,,
4405,0,0,,,,,,,,,,,,hvm
3046,0,0,,,,,,,,,,,,hvm
4318,0,0,,,,,,,,,,,,hvm
4367,0,0,,,,,,,,,,,,hvm
4021,0,0,,,,,,,,,,,,hvm
3590,66,69,104,6,A,A,A,A,A,A,A,A,,hvm
3799,30,72,104,5,,,,,X,X,X,X,,hvm
3837,0,0,,,,,,,,,,,,hvm
3377,0,0,,,,,,,,,,,,hvm
4061,24,91,104,7,F,F,F,F,,,,,,hvm
4410,0,0,,,,,,,,,,,,hvm
4396,0,0,,,,,,,,,,,,hvm
3483,0,0,,,,,,,,,,,,hvm
3261,0,0,,,,,,,,,,,DEAD ECTO TIPS,hvm
3587,0,0,,,,,,,,,,,,hvm
3973,0,0,,,,,,,,,,,,hvm
3679,43,92,104,7,,,,,A,A,A,A,,hvm
4160,0,0,,,,,,,,,,,,hvm
3785,83,100,104,8,X,X,X,X,,,,,,hvm
3777,61,61,104,8,,,,,X,X,X,X,,hvm
4014,15,104,104,9,A,A,A,A,,,,,,hvm
3836,0,0,,,,,,,,,,,,hvm
3725,0,0,,,,,,,,,,,,hvm
4243,0,0,,,,,,,,,,,,hvm
3000,0,0,,,,,,,,,,,,hvm
4254,0,0,,,,,,,,,,,,hvm
3825,0,0,,,,,,,,,,,,hvm
3338,0,0,,,,,,,,,,,,hvm
3544,19,124,104,9,,,,,A,A,A,A,,hvm
4024,0,0,,,,,,,,,,,,hvm
4056,0,0,,,,,,,,,,,,hvm
3982,59,79,104,10,A,A,A,A,,,,,,hvm
4029,0,0,,,,,,,,,,,,hvm
3772,0,0,,,,,,,,,,,,hvm
3095,36,96,104,11,G,G,G,G,G,G,G,G,,hvm
4095,0,0,,,,,,,,,,,,hvm
4135,0,0,,,,,,,,,,,,hvm
3519,0,0,,,,,,,,,,,,hvm
4328,0,0,,,,,,,,,,,,hvm
4415,0,0,,,,,,,,,,,,hvm
4221,0,0,,,,,,,,,,,,hvm
3549,25,110,104,12,G,G,G,G,G,G,G,N,,hvm
3613,0,0,,,,,,,,,,,,hvm
3558,0,0,,,,,,,,,,,,hvm
3484,0,0,,,,,,,,,,,,hvm
3845,0,0,,,,,,,,,,,,hvm
4123,0,0,,,,,,,,,,,few fine roots,hvm
3894,0,0,,,,,,,,,,,,hvm
3563,0,0,,,,,,,,,,,,hvm
4152,0,0,,,,,,,,,,,,hvm
4436,0,0,,,,,,,,,,,,hvm
3959,0,0,,,,,,,,,,,,hvm
4183,0,0,,,,,,,,,,,,hvm
3958,71,70,105,1,X,X,X,X,X,X,X,X,,hvm
3915,65,78,105,2,X,X,X,X,,,,,,hvm
3027,0,0,,,,,,,,,,,,hvm
3011,0,0,,,,,,,,,,,,hvm
3361,0,0,,,,,,,,,,,,hvm
4335,0,0,,,,,,,,,,,,hvm
4209,0,0,,,,,,,,,,,,hvm
3597,0,0,,,,,,,,,,,,hvm
4386,0,0,,,,,,,,,,,,hvm
3734,64,85,105,2,,,,,X,X,X,X,,hvm
4086,0,0,,,,,,,,,,,,hvm
3553,30,119,105,3,A,A,A,A,,,,,,hvm
4312,0,0,,,,,,,,,,,,hvm
3554,0,0,,,,,,,,,,,,hvm
3018,0,0,,,,,,,,,,,,hvm
4233,0,0,,,,,,,,,,,,hvm
3244,0,0,,,,,,,,,,,,hvm
3844,0,0,,,,,,,,,,,,hvm
3783,74,64,105,3,,,,,X,X,X,X,,hvm
4309,11,86,105,4,W,W,W,W,,,,,ALL V OLD LOOKING,hvm
3943,0,0,,,,,,,,,,,,hvm
4192,0,0,,,,,,,,,,,,hvm
3542,33,106,105,4,,,,,A,A,A,A,,hvm
4071,0,0,,,,,,,,,,,,hvm
4031,0,0,,,,,,,,,,,HARDLY ANY ROOTS!,hvm
4127,0,0,,,,,,,,,,,,hvm
3880,0,0,,,,,,,,,,,OLD DEAD MYCORRHIZAL TIPS,hvm
NA,,,,,,,,,,,,,,hvm
NA,,,,,,,,,,,,,,hvm
3005,0,,,,,,,,,,,,,hvm
3002,0,,,,,,,,,,,,,hvm
3172,20,90,105,5,A,A,A,A,,,,,,hvm
3109,30,107,105,5,,,,,A,A,A,A,,hvm
4096,0,,,,,,,,,,,,,hvm
3801,134,69,105,6,X,X,X,X,X,X,X,N,,hvm
3275,103,60,105,7,X,X,X,X,,,,,,hvm
4281,0,,,,,,,,,,,,,hvm
4422,0,,,,,,,,,,,,,hvm
3390,0,,,,,,,,,,,,,hvm
3007,0,,,,,,,,,,,,,hvm
4139,9,106,105,7,,,,,A,A,A,A,,hvm
4069,0,,,,,,,,,,,,,hvm
4075,0,,,,,,,,,,,,,hvm
3804,0,,,,,,,,,,,,,hvm
4401,0,,,,,,,,,,,,,hvm
3964,0,,,,,,,,,,,,,hvm
3936,0,,,,,,,,,,,,,hvm
4070,0,0,,,,,,,,,,,,hvm
3552,0,0,,,,,,,,,,,,hvm
3779,91,54,105,8,X,X,X,X,,,,,,hvm
3486,0,0,,,,,,,,,,,,hvm
3051,52,82,105,9,B,B,B,B,B,A,B,B,,hvm
3789,88,36,105,8,,,,,X,X,X,X,,hvm
4291,0,0,,,,,,,,,,,,hvm
3876,15,77,105,10,W,W,,,,,,,EM DEAD OR DYING,hvm
3955,49,57,105,10,,,X,X,X,X,X,X,,hvm
4028,0,0,,,,,,,,,,,,hvm
3185,0,0,,,,,,,,,,,,hvm
3117,0,0,,,,,,,,,,,,hvm
3102,0,0,,,,,,,,,,,,hvm
3237,0,0,,,,,,,,,,,,hvm
4047,37,52,105,11,D,D,D,D,,,,,,hvm
4419,0,0,,,,,,,,,,,,hvm
3586,0,0,,,,,,,,,,,,hvm
4324,0,0,,,,,,,,,,,,hvm
3570,49,45,105,12,H,H,H,H,H,H,H,H,,hvm
4262,0,0,,,,,,,,,,,,hvm
3264,0,0,,,,,,,,,,,,hvm
3387,0,0,,,,,,,,,,,,hvm
4307,0,0,,,,,,,,,,,,hvm
3711,48,60,105,11,,,,,G,G,G,G,,hvm
4246,0,0,,,,,,,,,,,,hvm
3562,51,80,106,1,H,H,H,H,H,H,H,H,,hvm
3767,80,43,106,2,X,X,X,X,,,,,,hvm
3577,0,0,,,,,,,,,,,,hvm
4026,75,36,106,3,D,D,D,D,D,D,D,D,,hvm
3760,88,44,106,2,,,,,X,X,X,X,,hvm
4157,0,0,,,,,,,,,,,,hvm
4004,0,0,,,,,,,,,,,,hvm
3496,35,104,106,4,D,D,D,D,D,D,D,D,,hvm
3505,0,0,,,,,,,,,,,,hvm
3628,0,0,,,,,,,,,,,,hvm
3782,37,85,106,5,X,X,X,X,,,,,,hvm
4258,14,82,106,5,,,,,W,W,W,W,,hvm
4088,118,47,106,6,G,G,G,G,G,G,G,G,,hvm
3110,0,0,,,,,,,,,,,,hvm
4083,15,143,106,7,G,G,G,G,,,,,,hvm
3890,0,0,,,,,,,,,,,OLD DEAD TIPS,hvm
4315,0,0,,,,,,,,,,,,hvm
3684,82,49,106,7,,,,,G,G,G,G,,hvm
4033,0,0,,,,,,,,,,,,hvm
4025,0,0,,,,,,,,,,,,hvm
3276,0,0,,,,,,,,,,,,hvm
3521,0,0,,,,,,,,,,,,hvm
4290,0,0,,,,,,,,,,,,hvm
3574,0,0,,,,,,,,,,,,hvm
3774,57,86,106,8,X,X,X,X,,,,,,hvm
3965,0,0,,,,,,,,,,,,hvm
4417,0,0,,,,,,,,,,,,hvm
3986,0,0,,,,,,,,,,,,hvm
3853,0,0,,,,,,,,,,,,hvm
4055,0,0,,,,,,,,,,,,hvm
4124,0,0,,,,,,,,,,,,hvm
3821,0,0,,,,,,,,,,,,hvm
4109,28,128,106,8,,,,,G,G,G,G,,hvm
4146,0,0,,,,,,,,,,,,hvm
3531,0,0,,,,,,,,,,,,hvm
3576,0,0,,,,,,,,,,,,hvm
4133,0,0,,,,,,,,,,,,hvm
3752,90,94,106,9,X,X,X,X,,,,,,hvm
3963,0,0,,,,,,,,,,,,hvm
3739,0,0,,,,,,,,,,,,hvm
3696,0,0,,,,,,,,,,,,hvm
4329,17,64,106,9,,,,,W,W,W,N,all pretty dead,hvm
3847,0,0,,,,,,,,,,,,hvm
4361,0,0,,,,,,,,,,,,hvm
3850,0,0,,,,,,,,,,,,hvm
3568,0,0,,,,,,,,,,,,hvm
3619,0,0,,,,,,,,,,,,hvm
3621,0,0,,,,,,,,,,,,hvm
3842,0,0,,,,,,,,,,,,hvm
3856,0,0,,,,,,,,,,,,hvm
4013,0,0,,,,,,,,,,,,hvm
3954,0,0,,,,,,,,,,,OLD DEAD EM TIPS,hvm
4261,0,0,,,,,,,,,,,,hvm
NA,NA,,,,,,,,,,,,,hvm
NA,NA,,,,,,,,,,,,,hvm
