seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,branching,notes,date
4017,9.7,6,16,,2,,4/5/22
3042,5.8,3.9,8,,0,,4/5/22
3359,5,2.4,,2,2,,4/5/22
3348,3.5,2,,2,2,,4/5/22
4146,12.8,4.7,15,,10,,4/5/22
3531,7.6,3.9,10,,0,,4/5/22
4319,7.8,2.7,,5,12,,4/5/22
3495,11,4.6,25,,10,,4/5/22
3356,6.4,2,,5,3.5,,4/5/22
3813,6,1.9,,5,6.5,,4/5/22
3006,6.5,4.9,6,,0,,4/5/22
3593,8,5,10,,1.2,,4/5/22
3992,7.7,6.9,12,,0,,4/5/22
4008,8.8,6.3,13,,6,,4/5/22
4088,6.3,3.6,10,,0,,4/5/22
3684,15.3,6.2,14,,3,,4/5/22
4408,6.4,2.7,,5,15.5,,4/5/22
4322,5.8,2.4,,4,10,,4/5/22
3183,12.6,4.8,14,,2,,4/5/22
3574,10.6,4.9,6,,0,,4/5/22
3268,3.7,2.6,,1,0,,4/5/22
3386,5.2,2.2,,1,0,,4/5/22
3550,9.6,4.9,18,,5.5,,4/5/22
3181,12.6,5.3,6,,0,,4/5/22
4096,11.2,3.6,7,,0,,4/5/22
3109,5.4,5.9,5,,0,,4/5/22
4041,12,4.6,36,,8,,4/5/22
3107,8.2,4,7,,0,,4/5/22
3776,6.6,1.9,,5,7.5,,4/5/22
3273,4.3,1.8,,1,0,,4/5/22
3932,9.5,3.1,,5,16,,4/5/22
3569,12.7,7.2,16,,6,,4/5/22
3609,24.1,5.7,16,,0,,4/5/22
3606,15.6,7.3,12,,2,,4/5/22
3130,8.6,5.5,10,,2.5,,4/5/22
3016,6.5,4.8,9,,0,,4/5/22
4290,7.8,2.2,,5,4,,4/5/22
4291,8.3,1.7,,5,5,,4/5/22
3913,8,2.5,,5,19,,4/5/22
3970,12.3,3.8,21,,9,,4/5/22
3993,10.6,3.3,13,,1.5,,4/5/22
3112,8,6.2,10,,0,,4/5/22
4281,10.8,3.2,,5,10.5,,4/5/22
3390,8.2,2.8,,5,16,,4/5/22
3638,10.4,4.4,11,,1,,4/5/22
4317,9.9,2.2,,5,17,,4/5/22
3381,6.2,2.5,,5,6.5,,4/5/22
3883,8.1,2.3,,5,16,,4/5/22
3172,6.5,3.3,9,,0,,4/5/22
4422,6.9,2.8,,5,17.5,,4/5/22
3933,6,2.1,,5,15,,4/5/22
3245,4.5,1.8,,4,2.5,,4/5/22
4243,8.7,2,,4,9,,4/5/22
3836,9,2.8,,5,25.6,,4/5/22
4021,8,4.4,5,,0,,4/5/22
3590,9.7,3.8,12,,0,,4/5/22
4000,8,3.8,11,,0,,4/5/22
3559,8.2,3.1,15,,0,,4/5/22
3773,6.4,1.7,,5,7,,4/5/22
3473,5.2,1.9,,5,1,,4/5/22
4405,9.1,2.2,,5,15,,4/12/22
4318,11.8,2.4,,5,14,,4/12/22
3810,7,2,,4,4,,4/12/22
3630,7.5,3.4,5,,0,,4/12/22
4278,6.6,2.2,,5,15,,4/12/22
3798,10.3,2.4,,5,9,,4/12/22
3834,9.4,2.2,,5,17,,4/12/22
4397,9.6,2.2,,5,21,,4/12/22
4047,11.7,4.5,16,,5.5,,4/12/22
4419,8.5,1.9,,5,4,,4/12/22
4043,5.2,3.1,16,,0,,4/12/22
4394,7,2.3,,4,15,,4/12/22
4024,5.5,2.6,6,,0,,4/12/22
3544,6.6,4.6,17,,0,,4/12/22
3842,9,2.6,,5,17.5,,4/12/22
3568,16.7,5.3,9,,0,,4/12/22
4334,8.4,2.4,,4,12,,4/12/22
3680,8.2,5.5,9,,0,,4/12/22
4396,10,2.6,,5,17,,4/12/22
3377,4.3,1.3,,5,13,,4/12/22
3916,7.2,2.2,,4,14,,4/12/22
4238,7.9,2.1,,5,16,,4/12/22
3498,9.5,5.4,17,,4.2,,4/12/22
3835,7.4,3.6,,4,11,,4/12/22
3058,5.5,2.2,3,,0,,4/12/22
4148,9.2,3.5,11,,0,,4/12/22
4380,6.5,2.8,,4,14,,4/12/22
4105,9.4,3.6,10,,0,,4/12/22
3808,6.7,2.2,,5,11,,4/12/22
4222,6,3.4,,5,18,,4/12/22
4426,8.2,2.5,,5,18,,4/12/22
3665,10.5,3.9,18,,2,,4/12/22
3653,11.5,4.6,13,,0,,4/12/22
4098,5.5,3.2,6,,0,,4/12/22
3695,10.4,3.8,15,,8.5,,4/12/22
3714,11,4.3,8,,0,,4/12/22
3967,8.1,6.5,15,,2,,4/12/22
3693,8.5,4.5,9,,0,,4/12/22
3899,6.4,2.2,,5,19,,4/12/22
3736,9,2.4,,5,19.5,,4/12/22
3551,9.6,3.5,3,,0,,4/12/22
3052,6.3,2.8,13,,0,,4/12/22
3728,11,2.9,,4,18,,4/12/22
4279,7.2,2,,4,6,,4/12/22
4285,8.5,2.9,,5,19,,4/12/22
3284,6,1.8,,4,6,,4/12/22
3772,10,2.3,,4,8.5,,4/12/22
3982,11.5,4.5,34,,11.5,,4/12/22
3734,7.6,2.4,,5,15.5,,4/12/22
4335,8.6,2.2,,5,10,,4/12/22
4160,7,3.4,10,,0,,4/12/22
3973,6.8,6.9,10,,0,,4/12/22
3824,6.5,4.2,,5,8.5,,4/12/22
4134,21.4,5.1,14,,0,,4/12/22
3547,8,1.6,6,,0,,4/12/22
4038,10.2,3.7,116,,0,,4/12/22
4254,8.7,2.2,,5,14,,4/12/22
3725,8.7,2.3,,5,13.5,,4/12/22
4412,7.5,2.2,,5,17,,4/12/22
3426,3.5,1.7,,2,0,,4/12/22
3536,11.2,4.9,16,,0,,4/12/22
4036,7.4,4.5,14,,9.4,,4/12/22
4092,14.3,4.4,11,,15.3,,4/12/22
4257,7.4,2.7,,3,9.4,,4/12/22
3943,4.8,2.2,,4,14.8,,4/12/22
4192,4.5,3.2,6,,0,,4/12/22
4269,8.3,2.8,,5,33.3,,4/12/22
3985,11.2,4.5,14,,16.7,,4/12/22
4151,7.3,3.5,16,,11.8,,4/12/22
4147,7.1,6,18,,16.1,,4/12/22
3519,9,4.1,6,,0,,4/12/22
4095,6.8,4,11,,0,,4/12/22
4205,10.2,2.6,,5,18.7,,4/12/22
3828,9.2,2.8,,5,22.7,,4/12/22
4233,6.2,2.8,,3,10.2,,4/12/22
3244,6,2,,5,12.5,,4/12/22
3481,5.6,2.4,3,,0,,4/12/22
3038,7.6,4.5,12,,0,,4/12/22
3126,4.6,2.8,4,,0,,4/12/22
3111,13.8,7.2,10,,0,,4/12/22
4100,8.4,3.9,7,,10.4,,4/12/22
3732,6.6,3,,4,44.6,,4/12/22
3894,5.7,3.2,,2,11.7,,4/12/22
4123,6.6,5.6,1,,0,,4/12/22
3705,NaN,NaN,,,0,dead,4/12/22
3806,9,2.9,,5,33.5,,4/12/22
3980,11.2,5,8,,0,,4/12/22
3013,10.7,3.6,12,,0,,4/12/22
4308,10.6,2.3,,5,27.6,,4/12/22
3778,9.4,2.8,,5,20.8,,4/12/22
4253,4.7,2.5,,2,2,,4/5/22
3254,5.2,2.4,,3,3,,4/5/22
3438,3.2,1.9,,1,0.5,,4/5/22
3250,4.2,2.3,,2,2.5,,4/5/22
3629,12,5.2,7,,0,,4/5/22
3626,6.6,3.7,15,,2.5,,4/5/22
3850,3.6,2.2,,3,2,,4/5/22
4133,10.8,4.6,11,,0,,4/5/22
4227,9.8,2.9,,4,12,,4/5/22
4399,6.3,2.4,,4,8,,4/5/22
3885,5.2,2.4,,5,15.5,,4/5/22
4316,8.5,3.2,,4,5,,4/5/22
4221,7.5,2.8,,3,8.5,,4/5/22
3549,10.3,4,12,,1,,4/5/22
3746,9.5,2.6,,4,16.5,,4/5/22
3623,9.7,3.9,10,,0,,4/5/22
3844,10.8,3.4,,4,9,,4/5/22
3542,9.3,3.5,10,,0,,4/5/22
3838,7.5,2.8,,3,8,,4/5/22
3839,11.7,3.1,,5,13.5,,4/5/22
4135,9.3,3.7,11,,2.5,,4/5/22
3095,8.3,5.4,5,,0,,4/5/22
3723,6.2,1.8,,4,11,,4/5/22
4218,8.5,2.6,,4,19,,4/5/22
4333,8.7,2.9,,4,19.5,,4/5/22
3775,8.5,2.8,,4,1.5,,4/5/22
3489,6.6,7.1,7,,0,,4/5/22
3511,7.4,4.1,7,,0,,4/5/22
3860,8.7,3,,5,25.5,,4/5/22
3999,9.3,4.4,18,,2.5,,4/5/22
4312,6.3,2.3,,5,14,,4/5/22
3553,4.5,3,12,,2.5,,4/5/22
3077,5.7,3.8,8,,0,,4/5/22
3611,9.7,4.1,12,,0,,4/5/22
3364,8.3,2.3,,4,19,,4/5/22
4435,4.7,1.7,,3,4,,4/5/22
4007,11.7,5.7,18,,7,,4/5/22
3995,6.5,4.7,7,,0,,4/5/22
3400,4.3,2.2,,2,2.5,,4/5/22
3392,3.4,2.2,,1,0,,4/5/22
4213,9.2,2.6,,5,26,,4/5/22
4187,7.6,3.7,15,,1.5,,4/5/22
3242,4.2,1.9,,1,2,,4/5/22
3243,4,2,,1,0,,4/5/22
3333,3.6,1.9,,1,0.5,,4/5/22
3325,4,1.8,,1,1,,4/5/22
4384,6.5,1.9,,5,19,,4/5/22
4368,4.8,2.3,,5,15,,4/5/22
3959,7.5,2.9,14,,7.5,,4/5/22
4183,11.7,5.4,4,,3.5,,4/5/22
3494,8.7,2.6,11,,0,,4/5/22
4260,9,2.3,,5,16,,4/5/22
3915,8.6,2.3,,5,13,,4/5/22
3958,8.7,2.4,,5,12.5,,4/5/22
4392,7.3,2.3,,5,31.5,,4/5/22
4388,5.6,2.3,,2,3,,4/5/22
4329,8.8,1.9,,4,6,,4/5/22
3576,9.6,4.2,10,,0,,4/5/22
4055,8.2,5.4,17,,9,,4/5/22
3853,7.7,2.3,,5,12,,4/5/22
4379,7.2,3,,3,16.5,,4/5/22
4063,5.5,9.2,41,,8,,4/5/22
3621,6.7,3.2,11,,0,,4/5/22
3619,7.5,3.9,18,,1,,4/5/22
3261,5.5,2.2,,5,11,,4/5/22
4410,9.5,2.8,,5,21,,4/5/22
3614,13,3,11,,0,,4/5/22
4367,6.8,2.4,,4,11,,4/5/22
4311,6.8,3,,5,23,,4/5/22
3327,,,,,,dead,4/5/22
3599,9.7,5.2,13,,3,,4/5/22
3640,11.4,6,19,,0,,4/5/22
4013,8.5,3.9,16,,9.5,,4/5/22
3856,9,3,,4,15.5,,4/5/22
3338,7.5,2.6,,4,16,,4/5/22
3825,4.7,2.6,,3,16,,4/5/22
4089,10.2,3.1,25,,9.5,,4/5/22
4378,5.2,2.4,,5,9,,4/5/22
3817,10.9,2.4,,4,9.5,,4/5/22
3849,6.4,3.2,,4,21,,4/5/22
3191,5.6,3.9,4,,2,,4/5/22
3151,10.7,5.2,19,,0,,4/5/22
3739,5.5,2.2,,5,5,,4/5/22
3752,11.2,2.9,,5,8.5,,4/5/22
3679,4.6,3.6,5,,0,,4/5/22
3799,9.8,3.1,,5,14.5,,4/5/22
4400,5.6,2.7,,4,11.5,,4/5/22
3260,5.3,2.3,,2,7,,4/5/22
3777,7.1,2.5,,5,15.5,,4/5/22
3785,7,2.5,,5,22,,4/5/22
3483,7.4,3,4,,0,,4/5/22
4061,9.3,3.8,16,,1,,4/5/22
3046,11.1,4.5,9,,0,,4/5/22
3600,8.9,5.8,19,,7.5,,4/5/22
4056,6,8.2,8,,0,,4/5/22
4029,5.1,5.2,10,,0,,4/5/22
4014,6.4,4.2,13,,0,,4/5/22
3000,19.5,6.3,8,,0,,4/5/22
3136,8.2,5,3,,,diameter date taken: 4/26/2022,4/5/22
3118,9.3,4.2,3,,,diameter date taken: 4/26/2022,4/5/22
3587,21.2,5.2,8,,3,,4/5/22
3837,7.2,2.5,,5,11.5,,4/5/22
3114,4.9,5.1,8,,0,,4/5/22
4159,5.8,3.9,8,,1,,4/5/22
3132,11.8,4.4,13,,0,,4/5/22
3135,5.4,2.8,9,,4,additional 2.7 stem diameter,4/5/22
3905,8,2.6,,5,28,,4/5/22
3335,7.3,2.2,,3,10.5,,4/5/22
4407,6.4,2.4,,4,20.5,,4/5/22
3383,5.7,1.8,,5,9,,4/5/22
4293,6.7,2.5,,4,17,,4/5/22
3272,8.2,2.2,,4,7,,4/5/22
4079,12.4,6,17,,0,,4/5/22
4280,7.8,2.7,,5,25,,4/5/22
3584,11.1,4.9,11,,0,,4/5/22
4255,4.6,2.2,,3,6,,4/5/22
4228,6.5,2.1,,3,10,,4/5/22
3532,11.3,4,14,,0,,4/5/22
3008,7.9,5.5,10,,0,,4/5/22
4195,9.5,4.1,20,,25,,4/5/22
4417,8,1.8,,5,11,,4/12/22
3140,4.7,3.3,3,,0,,4/12/22
3620,11.6,3.4,6,,0,,4/12/22
3026,8.7,3.3,6,,0,,4/12/22
3654,19,5.4,30,,0,,4/12/22
3033,6.5,4.1,10,,0,,4/12/22
4155,11.2,3.7,9,,0,,4/12/22
3119,9.3,5.8,16,,3,,4/12/22
3108,5.2,4.2,7,,0,,4/12/22
3237,7.1,3.9,9,,0,,4/12/22
4124,8.4,4.5,12,,0,,4/12/22
4163,20.8,5.4,22,,12,,4/12/22
3937,6.2,1.9,,5,10,,4/12/22
3493,11.7,3.1,7,,0,,4/12/22
3741,7.9,2.7,,5,19,Chlorosis date taken: 4/26/2022,4/12/22
3522,22.8,4.7,10,,0,,4/12/22
4402,4.5,3.6,,2,2.5,,4/12/22
4120,16.5,3.4,28,,6,,4/12/22
4042,12.2,4.7,19,,8.5,,4/12/22
4273,5.7,1.7,,3,2.5,,4/12/22
3423,4.6,1.5,,3,1,,4/12/22
3120,10.8,4.3,5,,0,,4/12/22
3664,10.8,5.3,17,,2,,4/12/22
4060,8.2,6.2,15,,6.5,,4/12/22
3124,11,5.2,8,,0,,4/12/22
4035,9.8,3.9,11,,0,,4/12/22
4321,10.3,3,,4,9,,4/12/22
3724,7.1,2.4,,5,13,,4/12/22
3742,6.2,2,,3,1,,4/12/22
4082,8.8,5.4,17,,2.5,,4/12/22
3779,8.4,3.1,,5,5,,4/12/22
4033,5.5,4.2,8,,0,,4/12/22
4025,13.2,4,11,,0,,4/12/22
4230,12.3,2.5,,4,4,,4/12/22
3701,13.6,3.8,17,,0,,4/12/22
4320,8,2.5,,4,4,,4/12/22
4162,10.7,4.4,19,,0,,4/12/22
3276,8.4,1.8,,5,5,,4/12/22
4324,7.4,1.8,,2,2,,4/12/22
3570,14.3,4.4,68,,0,,4/12/22
3562,8.5,5.5,46,,0,,4/12/22
4429,8.8,2.4,,4,4,,4/12/22
3615,11.5,3.2,9,,0,,4/12/22
4170,5.5,3.7,15,,0,,4/12/22
3704,7.6,4.5,14,,0,,4/12/22
3955,8.7,2,,5,5,,4/12/22
4028,10.5,4.6,12,,0,,4/12/22
3601,10.2,3.5,14,,0,,4/12/22
3141,17.7,4.1,4,,0,,4/12/22
3767,8.2,2.8,,4,4,,4/12/22
3577,6.7,4.7,7,,0,,4/12/22
3804,8.2,1.7,,5,5,,4/12/22
4401,6,2.1,,5,5,,4/12/22
3005,7.7,3.7,7,,0,,4/12/22
3002,7.5,4.9,8,,0,,4/12/22
3128,7.6,3.8,13,,0,,4/12/22
4297,8.1,2.5,,5,5,,4/12/22
3274,5.4,1.5,,2,2,,4/12/22
3259,5.9,2.1,,2,2,,4/12/22
3986,12.4,4.6,48,,0,,4/12/22
4002,12.3,6.2,16,,19.8,,4/12/22
3508,11.6,4.5,9,,0,,4/12/22
4276,14.9,2.8,,5,57.4,,4/12/22
3087,6.3,3.1,13,,0,,4/12/22
3594,8.2,5.4,5,,0,,4/12/22
