Sample Location,Sample Description #1,Lab Number,Total Exchange Capacity (meq/100 g),pH,Organic Matter (%),Estimated Nitrogen Release (# N/acre),S* (ppm),P* (mg/kg),Bray II P (mg/kg),Ca* (mg/kg),Mg* (mg/kg),K* (mg/kg),Na* (mg/kg),Ca** (%),Mg** (%),K** (%),Na** (%),Other Bases** (%),H** (%),B* (mg/kg),Fe* (mg/kg),Mn* (mg/kg),Cu* (mg/kg),Zn* (mg/kg),Al* (mg/kg)
recent_field,P1,0768-1,12.95,6.6,2.73,75,5,34,34,1850,212,190,11,71.43,13.64,3.76,0.37,4.8,6,0.55,133,28,0.75,1.9,368
recent_field,P2,0769-1,14.16,6.7,2.81,76,5,40,43,2031,252,215,11,71.72,14.83,3.89,0.34,4.7,4.5,0.58,156,34,0.72,2.06,433
recent_field,P3,0770-1,13.62,6.5,2.71,74,5,44,42,1843,254,215,11,67.66,15.54,4.05,0.35,4.9,7.5,0.62,160,30,0.54,1.66,402
recent_field,Q1,0771-1,11.58,7,2.66,73,5,55,49,1724,189,323,11,74.44,13.6,7.15,0.41,4.4,0,0.71,103,31,0.94,1.73,743
recent_field,Q2,0772-1,13.07,7.3,2.83,77,7,78,77,2054,160,346,11,78.58,10.2,6.79,0.37,4.1,0,0.82,113,63,0.94,2.84,691
recent_field,Q3,0773-1,13.88,7,3.16,82,7,56,49,2086,223,357,14,75.14,13.39,6.59,0.44,4.4,0,0.66,121,45,1.04,2.19,787
recent_gh,S1,0774-1,12.42,7.5,6.14,106,55,141,184,1638,299,358,77,65.94,20.06,7.39,2.7,3.9,0,1.19,113,16,0.85,14.59,83
recent_gh,S2,0775-1,11.74,7.5,4.39,94,55,136,166,1523,302,324,74,64.86,21.44,7.08,2.74,3.9,0,1.11,110,15,0.87,14.48,64
recent_gh,S3,0776-1,11.01,7.5,5.54,103,53,130,164,1426,274,332,73,64.76,20.74,7.73,2.88,3.9,0,1.16,107,14,0.8,13.77,38
old_field,B1,0777-1,12.50,6.5,3.54,85,5,28,37,1687,235,189,16,67.48,15.67,3.88,0.56,4.9,7.5,0.65,149,30,1.03,1.58,281
old_field,O1,0778-1,14.31,6.9,5.55,103,9,36,40,2323,153,197,14,81.17,8.91,3.53,0.43,4.5,1.5,0.93,101,62,1.97,3.19,403