newplate,newcolumn,newrow,pcr_plate,pcr_column,pcr_row
30,1,a,1,1,a
30,1,b,1,1,b
30,1,c,1,1,c
30,1,d,1,1,d
30,1,f,1,1,f
30,1,g,1,1,g
30,2,b,1,1,h
30,2,c,1,2,a
30,2,d,1,2,b
30,2,e,1,2,c
30,2,f,1,2,d
30,2,g,1,2,e
30,2,h,1,2,f
30,3,a,1,2,g
30,3,b,1,2,h
30,3,f,1,3,a
30,3,g,1,3,b
30,3,h,1,3,c
30,4,a,1,3,d
30,4,b,1,3,e
30,4,c,1,3,f
30,4,e,1,3,g
30,4,f,1,3,h
30,4,g,1,4,a
30,4,h,1,4,b
30,5,a,1,4,c
30,5,b,1,4,d
30,5,c,1,4,e
30,5,d,1,4,f
30,5,e,1,4,g
30,5,g,1,4,h
30,5,h,1,5,a
30,6,b,1,5,b
30,6,c,1,5,c
30,6,d,1,5,d
30,6,e,1,5,e
30,6,g,1,5,f
30,6,h,1,5,g
30,7,b,1,5,h
30,7,c,1,6,a
30,7,d,1,6,b
30,7,h,1,6,c
30,8,b,1,6,d
30,8,c,1,6,e
30,8,d,1,6,f
30,8,g,1,6,g
30,9,c,1,6,h
30,10,c,1,7,a
30,10,d,1,7,b
30,11,a,1,7,c
30,11,d,1,7,d
30,11,f,1,7,e
30,11,h,1,7,f
30,12,a,1,7,g
30,12,b,1,7,h
30,12,c,1,8,a
30,12,d,1,8,b
30,12,e,1,8,c
30,12,f,1,8,d
30,12,g,1,8,e
30,12,h,1,8,f
31,1,a,1,8,g
31,1,d,1,8,h
31,1,g,1,9,a
31,2,a,1,9,b
31,2,b,1,9,c
31,2,e,1,9,d
31,2,f,1,9,e
31,3,a,1,9,f
31,3,c,1,9,g
31,3,e,1,9,h
31,3,f,1,10,a
31,4,c,1,10,b
31,4,f,1,10,c
31,4,g,1,10,d
31,4,h,1,10,e
31,5,a,1,10,f
31,5,b,1,10,g
31,5,d,1,10,h
31,6,c,1,11,a
31,6,d,1,11,b
31,6,e,1,11,c
31,6,f,1,11,d
31,7,h,1,11,e
31,8,a,1,11,f
31,8,b,1,11,g
31,8,c,1,11,h
31,8,d,1,12,a
31,9,f,1,12,b
31,10,c,1,12,c
31,12,b,1,12,d
31,12,c,1,12,e
31,12,d,1,12,f
31,12,e,1,12,g
31,12,g,1,12,h
32,1,e,2,1,a
32,1,d,2,1,b
32,1,g,2,1,c
32,1,h,2,1,d
32,2,e,2,1,e
32,2,f,2,1,f
32,3,f,2,1,g
32,3,g,2,1,h
32,3,h,2,2,a
32,4,a,2,2,b
32,5,e,2,2,c